segment,split_date,ann_ret,ann_vol,sharpe,max_dd,total_ret
IS,2023-01-01,0.2082956391230809,0.2101364735068228,0.9912398149925489,-0.29603263303922656,1.4859813655312837
OOS,2023-01-01,0.28210035600246947,0.2125085760967747,1.3274775125907188,-0.18656440260915108,1.1689356142278005
DECAY,2023-01-01,,,-0.3392092332375667,,
RATIO,2023-01-01,,,1.3392092332375667,,
