,AAPL,ADBE,ADI,ADSK,AMAT,AMD,APP,ARM,ASML,AVGO,CDNS,CDW,CRWD,CSCO,CTSH,DDOG,FTNT,GFS,INTC,INTU,KLAC,LRCX,MCHP,MRVL,MSFT,MSTR,MU,NVDA,NXPI,ON,PANW,PLTR,QCOM,ROP,SHOP,SNPS,TEAM,TXN,WDAY,ZS
2020-10-29,0.0698650227895205,,,,,,,,,,,,,,,,0.07233776660631004,,,,,,,,,,,,,,,,,,0.005876368451029788,,0.06702082673611093,,,
2020-08-13,,,,,0.06955078366003233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-25,,,,0.03404497705835088,,,,,,,,,,,,,,,,0.0469213860073316,,,,,,,,,,,,,,,,,,,,
2020-10-22,,,,,,,,,,,,,,,,,,,0.05138206034928032,,,,,,,,,,,,,,,,,,,,,
2020-10-28,,,,,,,,,,,,,,,0.06408453536336278,,,,,,0.031065260558502537,,,,,,,,,,,,,,,,,,,
2020-10-21,,,,,,,,,,,,,,,,,,,,,,0.0410879223482583,,,,,,,,,,,,,,,,,,
2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05164293585228682,,,,,,,,,,,,,
2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053531338771206305,,
2020-09-15,,0.033870326981282825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,,,,,,,,,,,0.041437698867889346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,0.057675382818508314,,,,,,,,,,,,,,,0.03915720538825616,
2020-08-12,,,,,,,,,,,,,,0.06482130540768002,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642998794186559,,,,,,,
2020-11-05,,,,,,,,,,,,,,,,,,,,,,,0.04356457000417512,,,,,,,,,,,,,,,,,
2020-11-02,,,,,,,,,,,,0.06539844281173765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027798018187121538
2020-09-02,,,,,,,,,,,,,0.09246358067408296,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,,,,,,,,,,,,,,,,0.04646103832881718,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,,,,,0.05080467188762519,,,,,,,,,0.05793860095347664,,,,,,,,,,,,,,,,,,0.06674156923325009,,,,,,,,
2020-10-14,,,,,,,,,0.06052092184949022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04243685774932107,,,,,,,,,,
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05068540951752546,,,,,,,,,
