,AAPL,ADBE,ADI,ADSK,AMAT,AMD,APP,ARM,ASML,AVGO,CDNS,CDW,CRWD,CSCO,CTSH,DDOG,FTNT,GFS,INTC,INTU,KLAC,LRCX,MCHP,MRVL,MSFT,MSTR,MU,NVDA,NXPI,ON,PANW,PLTR,QCOM,ROP,SHOP,SNPS,TEAM,TXN,WDAY,ZS
2020-07-30,0.05287098908731422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048841865118546206,,,
2020-05-14,,,,,0.06597544171826013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,,,,0.010434777739139693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03137864827970229,
2020-07-23,,,,,,,,,,,,,,,,,,,0.04133174618251345,,,,,,,,,,,,,,,,,,,,,
2020-08-03,,,,,,,,,,,,,,,,,,,,,0.039131581728456766,,,,,,,,,,,,,,,,,,,
2020-07-29,,,,,,,,,,,,,,,0.04287220027541399,,,,,,,0.03146078533368316,,,,,,,,,,,0.06251723437116677,,0.05487409006831807,,,,,
2020-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04826252043216655,,,,,,,,,,,,,
2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05134786471690024,,
2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,0.048972815721027615,,,,,,,,,,,,,,,
2020-06-11,,0.05014255209909026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20,,,,,,,,,,,0.026873450104015074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,,,,,,,,,,,,,,0.03528199166023458,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,,,,,,,,,,,,,,,,,,,,0.05515142482366502,,,,,,,,0.09354727418764687,,,0.024921204198605273,,,,,,,,,
2020-08-04,,,,,,,,,,,,,,,,,,,,,,,0.05601698412651918,,,,,,,,,,,,,,,,,
2020-08-05,,,,,,,,,,,,0.04828847728350373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,0.04401734825613772,,,,,,,,,,,,,,,,0.04999373063233655
2020-06-02,,,,,,,,,,,,,0.0861831000065811,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,,,,,,,,,,,,,,,,0.03396717863150106,0.03354347352427146,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15,,,,,,,,,0.047478912438363295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.048890638101290296,,,,,,,,,,
2020-06-04,,,,,,,,,,0.03314650552455016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043904268496164106,,,,,,,,,,,
2020-10-27,,,,,,0.035278248375487244,,,,,,,,,,,,,,,,,,,0.06024322281190381,0.05518200352599934,,,0.04490223424724793,,,,,0.04886676519324517,,,,,,
2020-08-19,,,0.05715496525472401,,,,,,,,,,,,,,,,,,,,,,,,,0.05807266090859104,,,,,,,,0.058506107945601515,,,,
2020-10-29,0.0698650227895205,,,,,,,,,,,,,,,,0.07233776660631004,,,,,,,,,,,,,,,,,,0.005876368451029788,,0.06702082673611093,,,
2020-08-13,,,,,0.06955078366003233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-25,,,,0.03404497705835088,,,,,,,,,,,,,,,,0.0469213860073316,,,,,,,,,,,,,,,,,,,,
2020-10-22,,,,,,,,,,,,,,,,,,,0.05138206034928032,,,,,,,,,,,,,,,,,,,,,
2020-10-28,,,,,,,,,,,,,,,0.06408453536336278,,,,,,0.031065260558502537,,,,,,,,,,,,,,,,,,,
2020-10-21,,,,,,,,,,,,,,,,,,,,,,0.0410879223482583,,,,,,,,,,,,,,,,,,
2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05164293585228682,,,,,,,,,,,,,
2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053531338771206305,,
2020-09-15,,0.033870326981282825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,,,,,,,,,,,0.041437698867889346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,0.057675382818508314,,,,,,,,,,,,,,,0.03915720538825616,
2020-08-12,,,,,,,,,,,,,,0.06482130540768002,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0642998794186559,,,,,,,
2020-11-05,,,,,,,,,,,,,,,,,,,,,,,0.04356457000417512,,,,,,,,,,,,,,,,,
2020-11-02,,,,,,,,,,,,0.06539844281173765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027798018187121538
2020-09-02,,,,,,,,,,,,,0.09246358067408296,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,,,,,,,,,,,,,,,,0.04646103832881718,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,,,,,0.05186054629677887,,,,,,,,,0.05341405626768008,,,,,,,,,,,,,,,,,,0.06674156923325009,,,,,,,,
2020-10-14,,,,,,,,,0.06052092184949022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04243685774932107,,,,,,,,,,
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05068540951752546,,,,,,,,,
2020-09-03,,,,,,,,,,0.030392980907042084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,,,,,,0.05648648180850901,,,,,,,,,,,,,,,,,,,0.047934573782468425,,,,,,,,,,,,,0.04672441827388991,,
2020-11-24,,,0.04474601699846176,0.047285025722520364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,0.04964882213840412,,,,,,,,,,,,,,,,,,,,,0.048875029694693886,,,,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,,,,,0.05594248565932189,,,,,,,,,,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,,,,0.04172362891510889,,,,,,0.04436083442975054,,,,,,,,,,,,0.008297649120364422,,,,,,,
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04075632430106847,,,,,,,,,,,,,
2020-12-10,,0.047493397899759586,,,,,,,,0.05053415850773311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,0.036884048940149565,,,,,,,,,,,,,,,,,,,,0.04466485921722693,,,,,,,,,
2020-11-19,,,,,,,,,,,,,,,,,,,,0.04895555591976529,,,,,,,,,,,,,,,,,,,0.0612899796399769,
2021-02-17,,,0.0340218287730572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02524555495741683,0.04589392399557363,,,,
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05366220957281191,,,,,,
2020-12-02,,,,,,,,,,,,,0.0575822425875208,,,,,,,,,,,,,,,,,,,,,,,0.055970698060982864,,,,0.04283412314218429
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,0.0425979242534769,,,,,,,,,,,0.038009088490573134,,,
2021-02-04,,,,,,,,,,,,,,,,,0.023359599094119405,,,,,,0.041075917332025084,,,,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,0.05057620164085535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,,,,,0.02775593618742051,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0452880506121792,,,,,,,,
2021-01-20,,,,,,,,,0.06389763015921032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04634346690580932,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047115284036491144,0.057889928806673124,,,,,,,,,,
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,0.0411965199425018,,,,,,,,,,,,,,,,
2020-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04200351639836382,,,,,,,,,
2021-04-27,,,,,,0.057499282687802515,,,,,,,,,,,,,,,,,,,0.041118827454000854,,,,,,,,,0.026715288659295563,,,,0.03883318229410315,,
2021-04-28,0.019625182223363364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007559313326263861,,0.012060713245718769,,,,,
2021-02-18,,,,,0.053527427651680545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,,,,0.02003401489280217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045549165358571654,0.019463938525160884
2021-04-22,,,,,,,,,,,,,,,,,,,0.031102174628897805,,,,,,,,,,,,,,,,,,,,,
2021-04-29,,,,,,,,,,,,,,,,,0.019339329019474515,,,,0.024517043329545955,,,,,0.020786083839108297,,,,,,,,,,,0.05038655970527768,,,
2021-04-21,,,,,,,,,0.05201199262335597,,,,,,,,,,,,,0.03677829006563381,,,,,,,,,,,,,,,,,,
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0060415824503715285,,,,,,,,,,,,,
2021-03-23,,0.051369803479204376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26,,,,,,,,,,,0.03476734437151754,,,,,,,,,,,,,,,,,,0.030578006916258293,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,0.044263071875237855,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,,,,,,,,,0.02429261801195431,,,,,,,,,,,,,,,,,,,,
2021-05-06,,,,,,,,,,,,,,,,0.061090184584595836,,,,,,,0.016702369052091902,,,,,,,,,,,,,,,,,
2021-05-05,,,,,,,,,,,,0.02828244298002982,,,0.05003229093531081,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,,,,,,,,,,,,,0.06320195363069685,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04589554994293216,,,,,,,,
2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042859922996365735,,,,,,,,,,,,
2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02360840974431744,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,0.06057576064229504,,,,,,,,,,,,,,,,
2021-03-04,,,,,,,,,,0.026502738258606936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-27,0.04801379023051113,,,,,0.05591073176462552,,,,,,,,,,,,,,,,,,,0.056729664174858,,,,,,,,,,,,,,,
2021-05-19,,,0.05431115734805161,,,,,,,,,,,0.03425383331570886,,,,,,,,,,,,,,,,,,,,,,0.06469498537899622,,,,
2021-05-20,,,,,0.050860465387601174,,,,,,,,,,,,,,,,,,,,,,,,,,0.03673393165052334,,,,,,,,,
2021-05-27,,,,0.0715413185257414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,,,,,,,,,,,,,,,,,,,0.04612894256749931,,,,,,,,,,,,,,,,,,,,,
2021-07-29,,,,,,,,,,,,,,,,,0.04044293531090649,,,,0.04737381711999481,,,,,0.03310807998989881,,,,,,,,,,,0.07981682670570071,,,
2021-07-28,,,,,,,,,,,,,,,0.03751148275375244,,,,,,,0.06845515021476077,,,,,,,,,,,0.008807373045507213,,0.07981682670570071,,,,,
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03211248286190076,,,,,,,,,,,,,
2021-07-21,,,,,,,,,0.07448309080589317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05045449357626121,,
2021-06-17,,0.07432798777182598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-26,,,,,,,,,,,0.0612935521839554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07296159260872807,,,,,,,,,,,0.04070496001940067,
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0528816611112939,,,,,,
2021-05-25,,,,,,,,,,,,,,,,,,,,0.04432301092968052,,,,,,,,,,,,,,,,,,,,0.07981682670570071
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,0.03831547165084549,,,,,,,,,,,,,,,,,
2021-08-04,,,,,,,,,,,,0.04774676490020873,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,,,,,,,,,,0.04888133805070514,,,0.07981682670570071,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,,,,,,,,,,,,,,,,0.07981682670570071,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07981682670570071,,,,,,,,
2021-08-11,,,,,,,0.04046158978466733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04880228027781773,0.038357782861155425,,,,,,,,,,
2021-06-07,,,,,,,,,,,,,,,,,,,,,,,,0.03724102138244728,,,,,,,,,,,,,,,,
2021-10-26,,,,,,0.07640393425949975,,,,,,,,,,,,,,,,,,,0.04553123463374761,,,,,,,,,,,,,0.05281689764778142,,
2021-08-18,,,0.034179472362887396,,,,,,,,,,,0.04121638800858597,,,,,,,,,,,,,,0.10091465929311066,,,,,,,,0.06336122349602737,,,,
2021-10-28,0.05612596452630885,,,,,,,,,,,,,,,,,,,,,,,,,0.04393317028866766,,,,,,,,,0.07432414088343994,,0.10242434900743055,,,
2021-08-19,,,,,0.04087974438939387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25,,,,0.08955569239735563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-21,,,,,,,,,,,,,,,,,,,0.0777645169484336,,,,,,,,,,,,,,,,,,,,,
2021-10-27,,,,,,,,,,,,,,,0.0489139943214245,,,,,,0.04709236249213355,,,,,,,,,,,,,,,,,,,
2021-10-20,,,,,,,,,0.038337757799086186,,,,,,,,,,,,,0.05610916121627386,,,,,,,,,,,,,,,,,,
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06297220377750226,,,,,,,,,,,,,
2021-09-21,,0.0980842572382827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-25,,,,,,,,,,,0.055384709099556416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,0.04573774435043461,,,,,,,,,,,,,,,0.04634447580017013,
2021-11-03,,,,,,,,,,,,0.05719346092727428,,,,,,,,,,,,,,,,,,,,,0.037214781043842585,,,,,,,
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045020849597789896,,,,,,
2021-08-24,,,,,,,,,,,,,,,,,,,,0.04415016857137465,,,,,,,,,,,,,,,,,,,,
2021-11-04,,,,,,,,,,,,,,,,0.12355557841952448,0.03980738491530443,,,,,,0.048018781965877125,,,,,,,,,,,,,,,,,
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011350320492270517
2021-08-31,,,,,,,,,,,,,0.09467711277643803,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12082898187516,,,,,,,,
2021-11-10,,,,,,,0.05560324005790881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056362520259588926,0.044083208474344,,,,,,,,,,
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003313390236515065,,,,,,,,,
2021-09-02,,,,,,,,,,0.03521671752143315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,,,,,,0.041201499129178615,,,,,,,,,,,,,,,,,,,,0.054007892236988,,,,,,,,,,,,,,
2021-11-23,,,0.05729994086823194,0.041205633579554014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-27,0.06320278546026921,,,,,,,,,,,,,,,,,,,,0.07834073153553495,,,,,,,,,,,,,,,,0.05039845255785156,,,
2021-11-18,,,,,0.08047427401887156,,,,,,,,,,,,,,,0.05039845255785156,,,,,,,,,,,0.022440986588633735,,,,,,,,0.05618913655464381,
2022-01-26,,,,,,,,,,,,,,,,,,,0.04992579596817525,,,0.054329949156048274,,,,,,,,,,,,,,,,,,
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03268601821678157,,,,,,,,,,,,,
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,0.05727630842156366,,,,,,,,,,,,,0.056274320430062565,,
2021-12-16,,0.05039845255785156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-22,,,,,,,,,,,0.03718004300886483,,,,,,,,,,,,,,,,,,,,0.055465604838719734,,,,,,,,,
2021-11-17,,,,,,,,,,,,,,0.031731016111513334,,,,,,,,,,,,,,0.13964743002796975,,,,,,,,,,,,
2022-02-16,,,0.053923107994221335,,0.07278960970167717,,0.04253124056870686,,,,,,,0.05135460070710736,,,,,,,,,,,,,,0.10434180194484441,,,,,,,0.05039845255785156,0.07892184105691441,,,,
2022-02-02,,,,,,,,,,,,,,,0.052985151288613704,,,,,,,,,,,,,,,,,,0.09818560990566579,0.052659448029984145,,,,,,
2021-12-01,,,,,,,,,,,,,0.05039845255785156,,,,,,,,,,,,,,,,,,,,,,,0.08197593713265226,,,,
2022-02-03,,,,,,,,,,,,,,,,,0.1252966526230754,,,,,,0.0711301704857311,,,,,,,,,,,,,,,,,
2022-02-09,,,,,,,,,,,,0.05123953387532525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05039845255785156
2022-02-10,,,,,,,,,,,,,,,,0.05039845255785156,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13964743002796975,,,,,,,,
2022-02-08,,,,,,,,,,,,,,,,,,0.06441777342426928,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,,,,,,,,,0.039030414244087194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03909833140481066,,,,,,,,,,
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,0.03933303582611709,,,,,,,,,,,,,,,,
2021-12-09,,,,,,,,,,0.07020654454618469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037522833512187846,,,,,,,,,,,
2022-05-03,,,,,,0.04491004365811371,,,,,,,,,,,,,,,,,,,,0.045011849735170355,,,,,,,,,,,,,,
2022-04-28,0.06671529118416088,,,,,,,,,,,,,,,,,,0.06481547111408499,,0.08296757720907497,,,,,,,,,,,,,,,,0.0694990913266053,,,
2022-02-24,,,,0.06512865660224701,,,,,,,,,,,,,,,,0.055869133421253596,,,,,,,,,,,,,,,,,,,,0.0569058299637968
2022-04-20,,,,,,,,,0.052080118916466654,,,,,,,,,,,,,0.07911097900769193,,,,,,,,,,,,,,,,,,
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06387302454774775,,,,,,,,,,,,,
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,0.06714872790360997,,,,,,,,,0.051550491199114576,,,,0.05832357993911898,,
2022-03-22,,0.06708306825065499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25,,,,,,,,,,,0.0519168472673017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05842412477043549,
2022-05-05,,,,,,,,,,,,,,,,0.059749774355472574,,,,,,,,,,,,,,,,,,,0.10212465934746974,,,,,
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08577375430797525,,,,,,,
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,0.04954095539974471,,,,,,,,,0.055107770896555046,,,,,,,,
2022-05-04,,,,,,,,,,,,0.03891809019296153,,,0.03596080493146257,,0.09875352377191868,,,,,,,,,,,,,,,,,,,,,,,
2022-03-09,,,,,,,,,,,,,0.07063741590401323,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,,,,,,,0.060490006443045134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-10,,,,,,,,,,,,,,,,,,0.0840833920900398,,,,,,,,,,,,,,,,,,,,,,
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04642921660713992,0.06378653024453163,,,,,,,,,,
2022-03-03,,,,,,,,,,0.06862329141769373,,,,,,,,,,,,,,0.05894903675609338,,,,,,,,,,,,,,,,
2022-08-02,,,,,,0.056858578411448514,,,,,,,,,,,,,,,,,0.007862599751696236,,,0.07374479834253164,,,,,,,,,,,,,,
2022-05-18,,,0.06812521175289162,,,,,,,,,,,0.041317129358799935,,,,,,,,,,,,,,,,,,,,,,0.07980272962274662,,,,
2022-07-28,0.0431918579859708,,,,,,,,,,,,,,,,,,0.07376325643695673,,0.06159283409596083,,,,,,,,,,,,,,,,,,,
2022-05-19,,,,,0.07669646461224269,,,,,,,,,,,,,,,,,,,,,,,,,,0.05092035073587275,,,,,,,,,
2022-05-26,,,,0.0762390414397565,,,,,,0.044106649334369655,,,,,,,,,,,,,,0.06037254361867545,,,,,,,,,,,,,,,0.08057261247342802,0.05553313975473854
2022-07-27,,,,,,,,,,,,,,,0.018655396545072065,,,,,,,0.08371157446838298,,,,,,,,,,,0.043552996984260274,,0.04043631828895509,,,,,
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044173647335395964,,,,,,,,,,,,,
2022-07-26,,,,,,,,,,,,,,,,,,,,,,,,,0.08737880363136555,,,,,,,,,,,,,0.0658091681403676,,
2022-06-16,,0.06742633881792712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-25,,,,,,,,,,,0.05804882124202869,,,,,,,,,,,,,,,,,,0.03094554867744995,,,,,,,,,,,
2022-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049471116003617865,,,,,,
2022-08-04,,,,,,,,,,,,,,,,0.061909988171105705,,,,,,,,,,,,,,,,,,,,,0.08419468215313067,,,
2022-05-24,,,,,,,,,,,,,,,,,,,,0.07458872575019844,,,,,,,,,,,,,,,,,,,,
2022-08-03,,,,,,,,,,,,0.06821117448885637,,,,,0.10283091290649118,,,,,,,,,,,,,,,,,,,,,,,
2022-06-02,,,,,,,,,,,,,0.09708501054900033,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16069641346836355,,,,,,,,
2022-08-10,,,,,,,0.10214348879669242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-09,,,,,,,,,,,,,,,,,,0.09718308953958943,,,,,,,,,,,,,,,,,,,,,,
2022-07-20,,,,,,,,,0.05060013002157323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03729984735912567,,,,,,,,,,,,
2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06641155026445089,,,,,,,,,,
2022-11-01,,,,,,0.020676245141174693,,,,,,,,,,,,,,,,,,,,0.07465647110733357,,,,,,,,,,,,,,
2022-08-17,,,0.02064212302542568,,,,,,,,,,,0.04300070475113876,,,,,,,,,,,,,,,,,,,,,,0.023450162898062347,,,,
