,rf,xgb,gbm
2020-03-31,0.03730955562685384,0.021784730344002946,0.021399270090600754
2020-06-30,0.10997693085257201,0.10166789542130031,0.10274533170220912
2020-09-30,0.08863307470018861,0.10155854405657168,0.10221035020840666
2020-12-31,0.10248658405852236,0.10131848117685789,0.10193276072714147
2021-03-31,0.08908421089680156,0.0946372240703764,0.08901215308299333
2021-06-30,0.0030626714545591597,0.002414097845497532,0.001124198907258464
2021-09-30,0.0016902775145564894,0.0029805146391972924,0.0015881041597912895
2021-12-31,0.0035761444969736288,0.00456454151950776,0.003521794874038785
2022-03-31,0.009485825346024095,0.01081157362613375,0.00957647862195966
2022-06-30,0.016799340418094777,0.01673035644893267,0.016972368288138733
2022-09-30,0.2343640188766963,0.234515213961062,0.23622412556764455
2022-12-31,0.367373724514759,0.3228347960111165,0.3286505930111313
2023-03-31,0.333793799254502,0.3102608110324465,0.3178531050929287
2023-06-30,0.30456407036837246,0.2866411534891142,0.30571135547275047
2023-09-30,0.07221504929807261,0.05516289273659703,0.08178217107762352
2023-12-31,0.02201760471219599,0.010484523418726317,0.004188993566394977
2024-03-31,0.006711952589403168,0.005285171337354937,0.00561853225785652
2024-06-30,0.006639438531099679,0.005924330410104179,0.006162162906024378
2024-09-30,0.007715689329894307,0.007419347384082226,0.006920307121013998
2024-12-31,0.010550465583962526,0.01096591400079015,0.010699354843444557
2025-03-31,0.009785433321582812,0.010413947009411825,0.010030365336500117
2025-06-30,0.008538319399833134,0.007691151547823937,0.008532313751439684
2025-09-30,0.007363445666918987,0.006989392353483496,0.007609096700868529
2025-12-31,0.005807528360869459,0.006098155498206985,0.005937410707706281
