,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2023-02-14,0.05485626222854405,,,,,0.05485626222854405,,,,,,
2023-03-20,,,,,,,,,0.05485626222854405,,,
2023-02-16,,,,0.05485626222854405,,,,,,,,
2023-02-23,,,0.05485626222854405,,,,0.05485626222854405,,,,,
2022-12-08,,,,,0.05485626222854405,,,,,,,
2023-01-25,,,,,,,,,,,,0.05485626222854405
2023-02-28,,,,,,,,,,0.04911641334465208,,
2023-05-02,,,,,,0.04911641334465208,,,,,0.04911641334465208,
2023-04-26,,,,,,,,0.04911641334465208,,,,
2023-05-30,,,,,,,,,0.04911641334465208,,,
2023-05-04,,,0.04911641334465208,0.04911641334465208,,,,,,,,
2023-05-09,0.04911641334465208,,,,,,,,,,,
2023-04-27,,0.04911641334465208,,,,,,,,,,
2023-03-28,,,,,0.04911641334465208,,,,,,,
2023-05-03,,,,,,,0.04911641334465208,,,,,
2023-04-19,,,,,,,,,,,,0.04911641334465208
2023-05-18,,,,,,,,,,0.033797860083770025,,
2023-08-01,,,,,,0.033797860083770025,,,,,0.033797860083770025,
2023-07-26,,,,,,,,0.033797860083770025,,,,
2023-08-29,,,,,,,,,0.033797860083770025,,,
2023-08-02,,,,0.033797860083770025,,,0.033797860083770025,,,,,
2023-08-03,0.033797860083770025,0.033797860083770025,0.033797860083770025,,,,,,,,,
2023-06-01,,,,,0.033797860083770025,,,,,,,
2023-07-19,,,,,,,,,,,,0.033797860083770025
2023-08-17,,,,,,,,,,0.03518746267845689,,
2023-11-02,,,0.03518746267845689,,,0.03518746267845689,,,,,0.03518746267845689,
2023-10-25,,,,,,,,0.03518746267845689,,,,
2023-11-28,,,,,,,,,0.03518746267845689,,,
2023-11-01,0.03518746267845689,,,0.03518746267845689,,,0.03518746267845689,,,,,
2023-10-26,,0.03518746267845689,,,,,,,,,,
2023-08-31,,,,,0.03518746267845689,,,,,,,
2023-10-18,,,,,,,,,,,,0.03518746267845689
2023-11-16,,,,,,,,,,0.0323078356406469,,
2024-01-30,,,,,,,,,,,0.0323078356406469,
2024-02-07,,,,,,,,0.0323078356406469,,,,
2024-02-13,0.0323078356406469,,,,,0.0323078356406469,,,,,,
2024-03-20,,,,,,,,,0.0323078356406469,,,
2024-02-15,,,,0.0323078356406469,,,,,,,,
2024-02-01,,0.0323078356406469,,,,,,,,,,
2024-02-22,,,0.0323078356406469,,,,0.0323078356406469,,,,,
2023-12-07,,,,,0.0323078356406469,,,,,,,
2024-01-24,,,,,,,,,,,,0.0323078356406469
2024-03-05,,,,,,,,,,0.039810692852512465,,
2024-04-30,,0.039810692852512465,,,,,,,,,0.039810692852512465,
2024-04-24,,,,,,,,0.039810692852512465,,,,
2024-05-01,,,,0.039810692852512465,,0.039810692852512465,,,,,,
2024-05-22,,,,,,,,,0.039810692852512465,,,
2024-05-08,0.039810692852512465,,,,,,,,,,,
2024-05-02,,,0.039810692852512465,,,,0.039810692852512465,,,,,
2024-03-21,,,,,0.039810692852512465,,,,,,,
2024-04-23,,,,,,,,,,,,0.039810692852512465
2024-05-23,,,,,,,,,,0.03856637520922102,,
2024-07-30,,,,,,,,,,,0.03856637520922102,
2024-07-24,,,,,,,,0.03856637520922102,,,,
2024-07-31,,,,,,0.03856637520922102,,,,,,
2024-08-26,,,,,,,,,0.03856637520922102,,,
2024-08-01,,0.03856637520922102,0.03856637520922102,0.03856637520922102,,,0.03856637520922102,,,,,
2024-08-06,0.03856637520922102,,,,,,,,,,,
2024-06-05,,,,,0.03856637520922102,,,,,,,
2024-07-23,,,,,,,,,,,,0.03856637520922102
2024-08-22,,,,,,,,,,0.039770015746267436,,
2024-10-30,,,0.039770015746267436,0.039770015746267436,,,,,,,0.039770015746267436,
2024-10-23,,,,,,,,0.039770015746267436,,,,0.039770015746267436
2024-11-04,,,,,,0.039770015746267436,,,,,,
2024-11-21,,,,,,,,,0.039770015746267436,0.04409708244479802,,
2024-11-07,0.039770015746267436,,,,,,,,,,,
2024-10-31,,0.039770015746267436,,,,,,,,,,
2024-08-29,,,,,0.039770015746267436,,,,,,,
2024-11-06,,,,,,,0.039770015746267436,,,,,
2025-01-28,,,,,,,,,,,0.04409708244479802,
2025-02-05,,,,,,,,0.04409708244479802,,,,
2025-02-11,,,,0.04409708244479802,,0.04409708244479802,,,,,,
2025-03-20,,,,,,,,,0.04409708244479802,,,
2025-02-13,0.04409708244479802,,,,,,,,,,,
2025-02-06,,0.04409708244479802,,,,,,,,,,
2025-02-20,,,0.04409708244479802,,,,0.04409708244479802,,,,,
2024-12-03,,,,,0.04409708244479802,,,,,,,
2025-01-29,,,,,,,,,,,,0.04409708244479802
2025-03-04,,,,,,,,,,0.043384581326204034,,
2025-04-29,,,0.043384581326204034,,,,,,,,0.043384581326204034,
2025-04-23,,,,,,,,0.043384581326204034,,,,
2025-05-06,,,,0.043384581326204034,,0.043384581326204034,,,,,,
2025-05-27,,,,,,,,,0.043384581326204034,,,
2025-05-01,0.043384581326204034,0.043384581326204034,,,,,,,,,,
2025-03-27,,,,,0.043384581326204034,,,,,,,
2025-05-07,,,,,,,0.043384581326204034,,,,,
2025-04-22,,,,,,,,,,,,0.043384581326204034
2025-05-22,,,,,,,,,,0.04227071752608953,,
2025-07-29,,,0.04227071752608953,,,,,,,,0.04227071752608953,
2025-07-23,,,,,,,,0.04227071752608953,,,,0.04227071752608953
2025-08-05,,,,,,0.04227071752608953,,,,,,
2025-08-25,,,,,,,,,0.04227071752608953,,,
2025-08-06,0.04227071752608953,,,0.04227071752608953,,,,,,,,
2025-07-31,,0.04227071752608953,,,,,,,,,,
2025-06-05,,,,,0.04227071752608953,,,,,,,
2025-08-04,,,,,,,0.04227071752608953,,,,,
2025-08-21,,,,,,,,,,0.04124848298499837,,
2025-10-29,,,,,,,0.04124848298499837,,,,0.04124848298499837,
2025-10-22,,,,,,,,0.04124848298499837,,,,0.04124848298499837
2025-11-04,,,,,,0.04124848298499837,,,,,,
2025-11-18,,,,,,,,,0.04124848298499837,,,
2025-11-05,,,,0.04124848298499837,,,,,,,,
2025-11-06,0.04124848298499837,,,,,,,,,,,
2025-10-30,,0.04124848298499837,,,,,,,,,,
2025-10-28,,,0.04124848298499837,,,,,,,,,
2025-09-04,,,,,0.04124848298499837,,,,,,,
2025-11-20,,,,,,,,,,0.04302023327494171,,
2026-01-28,,,,,,,,,,,0.04302023327494171,0.04302023327494171
2026-02-04,,,,,,,,0.04302023327494171,,,,
2026-02-10,,,,,,0.04302023327494171,,,,,,
2026-02-12,0.04302023327494171,,,,,,,,,,,
2026-02-05,,0.04302023327494171,,,,,,,,,,
2025-12-11,,,,,0.04302023327494171,,,,,,,
