,ABNB,AMZN,BKNG,DASH,LULU,MAR,MELI,ORLY,PDD,ROST,SBUX,TSLA
2021-05-05,,,0.020054291933774948,,,,0.020054291933774948,,,,,
2021-03-30,,,,,0.04194274917244911,,,,,,,
2021-04-26,,,,,,,,,,,,0.020054291933774948
2021-05-20,,,,,,,,,,0.06000048294663429,,
2021-07-27,,,,,,,,,,,0.05603035166859627,
2021-07-28,,,,,,,,0.058723870664834976,,,,
2021-08-03,,,,,,0.030440619215369225,,,,,,
2021-08-24,,,,,,,,,0.10426215827465057,,,
2021-08-12,0.03795630484819412,,,0.10426215827465057,,,,,,,,
2021-07-29,,0.06000048294663429,,,,,,,,,,
2021-08-04,,,0.052898962050676346,,,,0.0557795986533165,,,,,
2021-06-03,,,,,0.057018451392650604,,,,,,,
2021-07-26,,,,,,,,,,,,0.049688421189785004
2021-08-19,,,,,,,,,,0.05915174260735512,,
2021-10-28,,0.06522978842258453,,,,,,,,,0.06031768023967743,
2021-10-27,,,,,,,,0.04466995224356651,,,,
2021-11-03,,,0.0750306248664856,,,0.06062508374452591,,,,,,
2021-11-26,,,,,,,,,0.06643195450305939,,,
2021-11-09,,,,0.05255507677793503,,,,,,,,
2021-11-04,0.05248153209686279,,,,,,0.04507070034742355,,,,,
2021-09-08,,,,,0.08395222574472427,,,,,,,
2021-10-20,,,,,,,,,,,,0.05250554904341698
2021-11-18,,,,,,,,,,0.06692340970039368,,
2022-02-01,,,,,,,,,,,0.05012170970439911,
2022-02-09,,,,,,,,0.05012170970439911,,,,
2022-02-15,0.1082715317606926,,,,,0.05012170970439911,,,,,,
2022-03-21,,,,,,,,,0.06692340970039368,,,
2022-02-16,,,,0.060722317546606064,,,,,,,,
2022-02-03,,0.06692340970039368,,,,,,,,,,
2022-02-23,,,0.06692340970039368,,,,,,,,,
2021-12-09,,,,,0.06578940153121948,,,,,,,
2022-02-22,,,,,,,0.06692340970039368,,,,,
2022-01-26,,,,,,,,,,,,0.06578940153121948
2022-03-01,,,,,,,,,,0.06921301037073135,,
2022-05-03,0.05952770635485649,,,,,,,,,,0.04869944974780083,
2022-04-27,,,,,,,,0.0559462308883667,,,,
2022-05-04,,,0.059554342180490494,,,0.05917030945420265,,,,,,
2022-05-27,,,,,,,,,0.06921301037073135,,,
2022-05-05,,,,0.05826937407255173,,,0.0624113492667675,,,,,
2022-04-28,,0.045317165553569794,,,,,,,,,,
2022-03-29,,,,,0.06921301037073135,,,,,,,
2022-04-20,,,,,,,,,,,,0.0624113492667675
2022-05-19,,,,,,,,,,0.06568033993244171,,
2022-08-02,0.06568033993244171,,,,,0.05642594397068024,,,,,0.0651811808347702,
