,rf,xgb,gbm
2018-03-31,0.001990912554477774,0.0017213320979295394,0.0014716536398364675
2018-06-30,0.0025590923937575893,0.002045695430504558,0.001834660801693675
2018-09-30,0.005901678697232501,0.006519691912852802,0.006177271660258769
2018-12-31,0.006468647376027286,0.006260180195246535,0.006279103412388389
2019-03-31,0.008622906637446063,0.007446875345224792,0.007386312913252729
2019-06-30,0.009551244393839213,0.007815641701609503,0.007447055249352365
2019-09-30,0.005483806101727103,0.0044714161293400705,0.006098774047813685
2019-12-31,0.005411449460337433,0.0043865626986820914,0.00402295241339956
2020-03-31,0.011169934884913942,0.010225315617298366,0.013271870279966805
2020-06-30,0.010645846420231751,0.009733836571522016,0.012193743231369875
2020-09-30,0.01183371518673263,0.010457348609094795,0.01253314799692191
2020-12-31,0.011580914290787336,0.010759610351325213,0.013451851683210754
2021-03-31,0.0030647670469897605,0.00354400998836734,0.0031089645717267828
2021-06-30,0.0029751691518743635,0.0031796092830870767,0.0030503160168880773
2021-09-30,0.0033617109268742652,0.0036133162810546918,0.0034518670668655764
2021-12-31,0.004290910840280715,0.004014818716920911,0.004377412797379745
2022-03-31,0.008829354397601366,0.00876269410559226,0.008842643455139809
2022-06-30,0.010837329480942763,0.010954305295895035,0.010729644959420193
2022-09-30,0.02322791119638796,0.02361129292412904,0.023306272787534093
2022-12-31,0.02125968239972734,0.02140322082941122,0.021449966492255126
2023-03-31,0.017710377758441347,0.01759909267922572,0.017644534734285316
2023-06-30,0.01786090603923767,0.018055894645761655,0.01799077609256877
2023-09-30,0.009204012734399962,0.009096620668322532,0.009172687623638386
2023-12-31,0.008444622801511838,0.008421706600217299,0.00863740348323451
2024-03-31,0.021138730877391092,0.020165856648149932,0.02112983386619128
2024-06-30,0.020034002571227182,0.01913007777196741,0.020097650049415036
2024-09-30,0.026973293094879915,0.026619767534006387,0.02676363061333853
2024-12-31,0.028494099000589797,0.028602286012981218,0.028315461275783035
2025-03-31,0.019696641921869137,0.0194257185138475,0.019488658008608287
2025-06-30,0.032517640630861114,0.03190332828559046,0.03232585042754206
2025-09-30,0.023744610032024226,0.023500409537957213,0.02372178812199476
2025-12-31,0.021473229406057656,0.02119930366658451,0.02072612622090305
