,rf,xgb,gbm
2018-03-31,0.008306682581568617,0.00793417913269468,0.007059181870918598
2018-06-30,0.00776780615059242,0.007611938473644984,0.007396718147184247
2018-09-30,0.007831777216398493,0.007831719297496776,0.008040824786009884
2018-12-31,0.010107254620422352,0.01083948155146337,0.010245496839879664
2019-03-31,0.013007804027348495,0.012761540173470372,0.01290458970109439
2019-06-30,0.014576818145900661,0.014210990667730084,0.014555177340160746
2019-09-30,0.014461873700291004,0.013900744589197446,0.014647979106957063
2019-12-31,0.01277890697479087,0.01147976079874067,0.014317594209100058
2020-03-31,0.014971226869878767,0.01476399676994942,0.01495353295977144
2020-06-30,0.01886593207258157,0.01869111556776663,0.018671288647803597
2020-09-30,0.018166303803763176,0.0180435834332725,0.018206576392057614
2020-12-31,0.019901250483450872,0.0190781977729905,0.019663585142776843
2021-03-31,0.01352944337103398,0.013619161971475023,0.013535252684154047
2021-06-30,0.007968998963295044,0.008161170551484668,0.008137861722978524
2021-09-30,0.008168534220742447,0.008085277983990601,0.008114019146492667
2021-12-31,0.007809769187934001,0.007780510758968896,0.007812899895395896
2022-03-31,0.008577520709015348,0.008479677778680497,0.008544895908079823
2022-06-30,0.009506549480424776,0.009430625249665271,0.009465668264182237
2022-09-30,0.010927407158763325,0.01127781232955924,0.010768593782662539
2022-12-31,0.012272737486359998,0.012330496306506093,0.012206909652994785
2023-03-31,0.010154489506151065,0.010166695788604433,0.010251715443800703
2023-06-30,0.00978453358601718,0.00974057149953156,0.009793038731572664
2023-09-30,0.007271293828181868,0.007016310712446652,0.0071772181006800745
2023-12-31,0.0042162146348312555,0.00399643505313848,0.004051839467523511
2024-03-31,0.005515585798017544,0.00541201330686957,0.00568019133118119
2024-06-30,0.007059885098435575,0.007026193849117289,0.006876152058268661
2024-09-30,0.007179721269674069,0.007018434668031744,0.007234951481341369
2024-12-31,0.014172017485118014,0.014381873638841134,0.014022276544811408
2025-03-31,0.013546473896600617,0.013583701107778755,0.013458555698148009
2025-06-30,0.012810905900129352,0.012731000439379745,0.012664969904557512
2025-09-30,0.015215126445162635,0.015245370608488842,0.015067569461051809
2025-12-31,0.008766371501400909,0.008845938263043546,0.008871813380298407
