,CCEP,COST,KDP,KHC,MDLZ,MNST,PEP
2024-04-25,,,0.013541797080492498,,,,
2024-03-07,,0.013541797080492498,,,,,
2024-04-30,,,,,0.013541797080492498,,
2024-07-31,,,,0.012712594229269647,,,
2024-07-11,,,,,,,0.012712594229269647
2024-08-07,0.012712594229269647,,,,,0.012712594229269647,
2024-07-25,,,0.012712594229269647,,,,
2024-07-30,,,,,0.012712594229269647,,
2024-10-30,,,,0.010414836105333567,,,
2024-10-08,,,,,,,0.010414836105333567
2024-11-07,,,,,,0.010414836105333567,
2024-10-24,,,0.010414836105333567,,,,
2024-09-26,,0.010414836105333567,,,,,
2024-10-29,,,,,0.010414836105333567,,
2025-02-12,,,,0.0124163759949678,,,
2025-02-04,,,,,0.0124163759949678,,0.0124163759949678
2025-02-14,0.0124163759949678,,,,,,
2025-02-27,,,,,,0.0124163759949678,
2025-02-25,,,0.0124163759949678,,,,
2024-12-12,,0.0124163759949678,,,,,
2025-04-29,,,,0.013405819760019843,0.013405819760019843,,
2025-04-24,,,0.013405819760019843,,,,0.013405819760019843
2025-05-08,,,,,,0.013405819760019843,
2025-03-06,,0.013405819760019843,,,,,
2025-07-30,,,,0.0107065386182496,,,
2025-07-17,,,,,,,0.0107065386182496
2025-08-06,0.0107065386182496,,,,,,
2025-08-07,,,,,,0.0107065386182496,
2025-07-24,,,0.0107065386182496,,,,
2025-07-29,,,,,0.0107065386182496,,
2025-10-29,,,,0.0115692069504179,,,
2025-10-09,,,,,,,0.0115692069504179
2025-11-06,,,,,,0.0115692069504179,
2025-10-27,,,0.0115692069504179,,,,
2025-09-25,,0.0115692069504179,,,,,
2025-10-28,,,,,0.0115692069504179,,
2026-02-11,,,,0.008921108778673038,,,
2026-02-03,,,,,0.008921108778673038,,0.008921108778673038
2025-12-11,,0.008921108778673038,,,,,
