,rf,xgb,gbm
2020-03-31,0.006850072564782811,0.0058092951211876865,0.005383678917323841
2020-06-30,0.006227160981383166,0.01739594863330567,0.006503943633191708
2020-09-30,0.012446710123633457,0.014077319601642645,0.00986906125317008
2020-12-31,0.009617598972015601,0.012793254782520101,0.009602882043412244
2021-03-31,0.015734461624284567,0.014674915931879976,0.016049410980589467
2021-06-30,0.012913925490772023,0.008969780579772234,0.012194612132107374
2021-09-30,0.00984117812239171,0.00901845449097406,0.00957024102141458
2021-12-31,0.015935699164772926,0.015577779865693642,0.015385252579428105
2022-03-31,0.0198613134506881,0.018452309004985977,0.019263446813767467
2022-06-30,0.024740480544349713,0.023067480211386614,0.02419358170173915
2022-09-30,0.02651356919627058,0.023665110104165114,0.025753222039885816
2022-12-31,0.021044772007805256,0.017639486216802582,0.020665750391732737
2023-03-31,0.010611394579286537,0.01143870786289147,0.014650414554606712
2023-06-30,0.01954999716869622,0.01789231800042458,0.021599613201219794
2023-09-30,0.022919387507441484,0.023308075760541187,0.027545129423191622
2023-12-31,0.019809493938371746,0.014999233770756373,0.028484228497963778
2024-03-31,0.020332251453860854,0.01722209553344293,0.02334867599434885
2024-06-30,0.03466599668769423,0.023695078709210615,0.035699701338840914
2024-09-30,0.02466013695170681,0.01971441903288694,0.026162493918653697
2024-12-31,0.02332572825113479,0.025457997954847773,0.02681161535549601
2025-03-31,0.024847947732024624,0.026571071782625813,0.027144437456629228
2025-06-30,0.005022421975970143,0.006318158261946403,0.003213486314713416
2025-09-30,0.0032940651878025943,0.007595998314470278,0.0031613247550566614
