,CSGP
2020-04-28,0.05027555287763845
2020-07-28,0.07247311153978778
2020-10-27,0.07403819279970496
2021-02-23,0.058100989993122576
2021-04-27,0.06029458199662337
2021-07-27,0.07035732403615969
2021-10-26,0.06831145906407507
2022-02-22,0.06958761694106809
2022-04-26,0.0619822726983961
2022-07-26,0.059267669158897765
2022-10-25,0.05996742548467202
2023-02-21,0.054535195175383924
2023-04-25,0.04964478381696015
2023-07-25,0.022444585322484622
2023-10-24,0.03844086576066066
2024-02-20,0.025340647021117216
2024-04-23,0.018317703419539432
2024-07-23,0.10477068776318749
2024-10-22,0.037657306266389516
2025-02-18,0.06388694410859841
2025-04-29,0.09284186116268325
2025-07-22,0.04947054313421362
2025-10-28,0.03407162470705775
