,CSGP
2018-04-23,0.005796618526801467
2018-07-24,0.03189163551562362
2018-10-23,0.03045112993568182
2019-02-26,0.036923244426196274
2019-04-23,0.05050940175230304
2019-07-23,0.05654947903866951
2019-10-22,0.05391747384731259
2020-02-25,0.03557888257006804
2020-04-28,0.05360490258317441
2020-07-28,0.060580288553062606
2020-10-27,0.06100686298062404
2021-02-23,0.058246538092039134
2021-04-27,0.05439872150309384
2021-07-27,0.060895243615266825
2021-10-26,0.06618517235090787
2022-02-22,0.06702639037014349
2022-04-26,0.05934160361842563
2022-07-26,0.05727386366575957
2022-10-25,0.05654699007908885
2023-02-21,0.051296464512469594
2023-04-25,0.04335827616575573
2023-07-25,0.03849419562852588
2023-10-24,0.04195532373463114
2024-02-20,0.043955232317168864
2024-04-23,0.03897210114519112
2024-07-23,0.04557010257673083
2024-10-22,0.03992802471689442
2025-02-18,0.04244451051844018
2025-04-29,0.04404877082237767
2025-07-22,0.03570627559580513
2025-10-28,0.035224069424561764
